"X"	"Y"	"Classes"
1.11697291741981	2.44732229211845	"first"
0.95210001753461	3.90699445222798	"first"
-0.284633612727019	2.2479283356808	"first"
-0.277386702395478	4.53255141210164	"first"
1.12510982597585	3.25156313112309	"first"
-0.30805695579687	2.59589445984265	"first"
1.67018107921023	3.02175356225076	"first"
-0.0762030554932584	2.65078879735684	"first"
0.25720992108246	2.92093672838866	"first"
0.385777466549373	2.25100398661812	"first"
-0.611502713984765	2.40858131739428	"first"
-0.597028960864418	1.50129379609037	"first"
-0.203902282400133	2.53501426037326	"first"
-0.188816220692933	1.47341653244041	"first"
0.45523601014726	3.91550631473495	"first"
-1.14872116902808	2.98132670227907	"first"
-0.823413996817465	2.77241113796674	"first"
-0.364154571566785	2.95033468398713	"first"
-0.785280846467588	2.35264856618037	"first"
-1.10365261333041	4.20717874463095	"first"
0.667004592152104	2.85979649110575	"first"
0.420644079728141	2.94097197898619	"first"
-0.224357291991222	2.01054393015904	"first"
-0.859292727649796	2.10521148933363	"first"
1.02286726359648	2.59220819333369	"first"
-1.10021329653552	5.08582565246835	"first"
-0.531724112716067	2.2866660552164	"first"
0.3889448492113	4.09602884069492	"first"
-0.970221581351116	2.200468796408	"first"
-0.550488853650516	3.88436641990373	"first"
3.59658809532778	1.87656057660529	"second"
4.12777012208475	2.83519958880549	"second"
4.59192791441749	3.16903128354728	"second"
5.17218731005155	2.20134536610838	"second"
3.80653576134852	2.44783126317341	"second"
5.45082238619795	3.86103988162656	"second"
3.91259989215389	4.26743300006025	"second"
5.08924604753604	3.55117376483867	"second"
2.88236198284466	3.47062201083247	"second"
4.69782152799334	2.64572526761881	"second"
4.04869575232379	2.47289957717956	"second"
3.60794428727542	2.63850022042894	"second"
3.32703536397058	1.91064027388866	"second"
3.77095408923057	3.82319995437898	"second"
3.68588504796518	2.25478438389938	"second"
4.36816143359524	1.31727140255034	"second"
3.60365991436244	2.2641966825523	"second"
4.79905027357949	3.69517217421768	"second"
4.68072028149146	2.82713446290077	"second"
4.49121449480277	2.66873454861932	"second"
4.00515681059421	2.51111182664549	"second"
3.64229878194565	1.94636722377742	"second"
3.09437688525463	1.35288015143734	"second"
4.27417684694781	4.35015662863644	"second"
3.07579949558175	3.81862030071151	"second"
4.24194233807945	3.39771510437375	"second"
4.43685119518615	4.26522641500612	"second"
3.69702299689722	3.10463757593008	"second"
3.6733614693075	2.48005141148764	"second"
4.92079990565515	2.98284636370384	"second"
3.82974111296744	3.01609156877931	"second"
4.19020740651942	2.90746703943549	"second"
5.61634302092674	2.96584324910627	"second"
4.00509834109079	1.39849352485964	"second"
4.83281955969317	4.13787139106819	"second"
2.80339643643353	2.43515268455064	"second"
3.76474535005441	1.57732658551381	"second"
6.85756968880965	3.44403491404001	"second"
2.94775020011647	2.14178721082507	"second"
2.95265073104475	2.30938407935687	"second"
